DateTime;Voltage/V;Current/A;Power Factor;Actual Consumption/W;Apparent Consumption/W
16/06/2020 09:59;227.3;0.000;0.00;0.0000;0.0000
16/06/2020 10:00;227.2;0.000;0.00;0.0000;0.0000
16/06/2020 10:01;227.1;0.000;0.00;0.0000;0.0000
16/06/2020 10:02;227.3;0.210;0.72;34.3678;47.7330
16/06/2020 10:03;227.5;0.257;0.82;47.9433;58.4675
16/06/2020 10:04;227.0;0.256;0.82;47.6518;58.1120
16/06/2020 10:05;227.2;0.252;0.82;46.9486;57.2544
16/06/2020 10:06;227.4;0.257;0.82;47.9223;58.4418
16/06/2020 10:07;227.3;0.258;0.82;48.0876;58.6434
16/06/2020 10:08;227.3;0.226;0.81;41.6095;51.3698
16/06/2020 10:09;227.4;0.220;0.81;40.5227;50.0280
16/06/2020 10:10;227.3;0.231;0.81;42.5301;52.5063
16/06/2020 10:11;227.4;0.223;0.81;41.0753;50.7102
16/06/2020 10:12;227.2;0.233;0.81;42.8795;52.9376
16/06/2020 10:13;227.0;0.222;0.81;40.8191;50.3940
16/06/2020 10:14;227.3;0.220;0.81;40.5049;50.0060
16/06/2020 10:15;227.2;0.233;0.81;42.8795;52.9376
16/06/2020 10:16;227.0;0.223;0.81;41.0030;50.6210
16/06/2020 10:17;227.0;0.221;0.81;40.6353;50.1670
16/06/2020 10:18;226.9;0.223;0.81;40.9849;50.5987
16/06/2020 10:19;227.0;0.219;0.81;40.2675;49.7130
16/06/2020 10:20;226.9;0.220;0.81;40.4336;49.9180
16/06/2020 10:21;226.8;0.223;0.81;40.9669;50.5764
16/06/2020 10:22;226.9;0.218;0.81;40.0660;49.4642
16/06/2020 10:23;226.7;0.215;0.81;39.4798;48.7405
16/06/2020 10:24;226.5;0.224;0.81;41.0962;50.7360
16/06/2020 10:25;226.4;0.218;0.81;39.9777;49.3552
16/06/2020 10:26;226.6;0.223;0.81;40.9308;50.5318
16/06/2020 10:27;226.6;0.224;0.81;41.1143;50.7584
16/06/2020 10:28;226.7;0.217;0.81;39.8471;49.1939
16/06/2020 10:29;226.4;0.227;0.81;41.6282;51.3928
16/06/2020 10:30;226.6;0.222;0.81;40.7472;50.3052
16/06/2020 10:31;226.5;0.222;0.81;40.7292;50.2830
16/06/2020 10:32;226.7;0.225;0.81;41.3161;51.0075
16/06/2020 10:33;226.4;0.220;0.81;40.3445;49.8080
16/06/2020 10:34;226.3;0.224;0.81;41.0599;50.6912
16/06/2020 10:35;226.3;0.230;0.81;42.1597;52.0490
16/06/2020 10:36;225.9;0.219;0.81;40.0724;49.4721
16/06/2020 10:37;226.1;0.220;0.81;40.2910;49.7420
16/06/2020 10:38;225.9;0.224;0.81;40.9873;50.6016
16/06/2020 10:39;226.2;0.218;0.81;39.9424;49.3116
16/06/2020 10:40;226.3;0.218;0.81;39.9601;49.3334
16/06/2020 10:41;226.1;0.219;0.81;40.1079;49.5159
16/06/2020 10:42;226.1;0.219;0.81;40.1079;49.5159
16/06/2020 10:43;226.1;0.220;0.81;40.2910;49.7420
16/06/2020 10:44;226.0;0.221;0.81;40.4563;49.9460
16/06/2020 10:45;226.1;0.226;0.81;41.3899;51.0986
16/06/2020 10:46;226.2;0.227;0.81;41.5914;51.3474
16/06/2020 10:47;226.1;0.221;0.81;40.4742;49.9681
16/06/2020 10:48;226.1;0.223;0.81;40.8404;50.4203
16/06/2020 10:49;226.0;0.224;0.81;41.0054;50.6240
16/06/2020 10:50;226.1;0.221;0.81;40.4742;49.9681
16/06/2020 10:51;226.3;0.229;0.81;41.9764;51.8227
16/06/2020 10:52;226.4;0.222;0.81;40.7112;50.2608
16/06/2020 10:53;226.2;0.223;0.81;40.8585;50.4426
16/06/2020 10:54;225.9;0.224;0.81;40.9873;50.6016
16/06/2020 10:55;226.1;0.224;0.81;41.0236;50.6464
16/06/2020 10:56;226.1;0.224;0.81;41.0236;50.6464
16/06/2020 10:57;226.3;0.228;0.81;41.7931;51.5964
16/06/2020 10:58;226.3;0.224;0.81;41.0599;50.6912
16/06/2020 10:59;226.0;0.222;0.81;40.6393;50.1720
16/06/2020 11:00;226.1;0.224;0.81;41.0236;50.6464
16/06/2020 11:01;225.8;0.223;0.81;40.7863;50.3534
16/06/2020 11:02;226.2;0.227;0.81;41.5914;51.3474
16/06/2020 11:03;226.4;0.222;0.81;40.7112;50.2608
